Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
790,Evergreen Park (ps 68),,,"St. Felix & 75 Av, 60th St",Ridgewood,NY,11385,"St. Felix & 75 Av, 60th St Ridgewood, NY 11385",40.6975,-73.897,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
791,Evergreen Playground,,,"Evergreen Ave & Decatur, Schaefer Sts",Brooklyn,NY,11207,"Evergreen Ave & Decatur, Schaefer Sts Brooklyn, NY 11207",40.6861,-73.9107,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
792,Farm Playground/ps 26,,,"73 Ave, 195 St & 196 Pl",Fresh Meadows,NY,11365,"73 Ave, 195 St & 196 Pl Fresh Meadows, NY 11365",40.7358,-73.7774,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
793,Fermi Playground,,,"Troutman St & Central Ave, Starr St & Wilson Ave",Brooklyn,NY,11221,"Troutman St & Central Ave, Starr St & Wilson Ave Brooklyn, NY 11221",40.7001,-73.9283,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
794,First Park,,,"Houston St, E 1 St, 1 Ave",New York,NY,10003,"Houston St, E 1 St, 1 Ave New York, NY 10003",40.7235,-73.9898,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
795,Fish Playground,,,Saratoga Ave Bet Herkimer & Fulton Sts,Brooklyn,NY,11233,"Saratoga Ave Bet Herkimer & Fulton Sts Brooklyn, NY 11233",40.6783,-73.9148,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
796,Flynn Playground,,,"E 157 St, 3 Ave, E 158 St, Brook Ave",Bronx,NY,10451,"E 157 St, 3 Ave, E 158 St, Brook Ave Bronx, NY 10451",40.821,-73.9119,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
797,Fort 4 Playground,,,RESERVOIR AVE. & SEDGWICK,Bronx,NY,10468,"RESERVOIR AVE. & SEDGWICK Bronx, NY 10468",40.8747,-73.9009,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
798,Fort Greene Park,,,DEKALB AVE & CUMBERLAND ST,Brooklyn,NY,11201,"DEKALB AVE & CUMBERLAND ST Brooklyn, NY 11201",40.6902,-73.9737,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
799,Fort Greene Playground,,,MYRTLE AVE & ST EDWARDS PLAZA,Brooklyn,NY,11201,"MYRTLE AVE & ST EDWARDS PLAZA Brooklyn, NY 11201",40.6924,-73.9771,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,,Thaddeus James Weisner Park,,Fourth and Flagg streets,Aurora,IL,60605,"Fourth and Flagg streets Aurora, IL 60605",41.75854,-88.306552,,,City of Aurora,Municipal/Local Government,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,Ronan McElligott Memorial Playground,Edwards Beach,,55 Williams Avenue,Westford,MA,1886,"55 Williams Avenue Westford, MA 1886",,,,,,,This is a Boundless Playgroundª and made with equipment from Miracle Recreation.,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
800,Fort Independence Playground,,,"Sedgwick Ave, Stevenson Pl, Jerome Pk Reservoir",Bronx,NY,10463,"Sedgwick Ave, Stevenson Pl, Jerome Pk Reservoir Bronx, NY 10463",40.882,-73.8941,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
801,Four Winds Playground,,,BOOTH MEMORIAL AVE & 160 ST,Fresh Meadows,NY,11365,"BOOTH MEMORIAL AVE & 160 ST Fresh Meadows, NY 11365",40.7425,-73.8083,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
